value,date,realtime_end,realtime_start
6938,1992-01-01,2019-04-04,2019-04-04
7524,1992-02-01,2019-04-04,2019-04-04
8475,1992-03-01,2019-04-04,2019-04-04
9401,1992-04-01,2019-04-04,2019-04-04
9558,1992-05-01,2019-04-04,2019-04-04
9182,1992-06-01,2019-04-04,2019-04-04
9103,1992-07-01,2019-04-04,2019-04-04
10513,1992-08-01,2019-04-04,2019-04-04
9573,1992-09-01,2019-04-04,2019-04-04
10254,1992-10-01,2019-04-04,2019-04-04
11187,1992-11-01,2019-04-04,2019-04-04
18395,1992-12-01,2019-04-04,2019-04-04
7502,1993-01-01,2019-04-04,2019-04-04
7524,1993-02-01,2019-04-04,2019-04-04
8766,1993-03-01,2019-04-04,2019-04-04
9867,1993-04-01,2019-04-04,2019-04-04
10063,1993-05-01,2019-04-04,2019-04-04
9635,1993-06-01,2019-04-04,2019-04-04
9794,1993-07-01,2019-04-04,2019-04-04
10628,1993-08-01,2019-04-04,2019-04-04
10013,1993-09-01,2019-04-04,2019-04-04
10346,1993-10-01,2019-04-04,2019-04-04
11760,1993-11-01,2019-04-04,2019-04-04
18851,1993-12-01,2019-04-04,2019-04-04
7280,1994-01-01,2019-04-04,2019-04-04
7902,1994-02-01,2019-04-04,2019-04-04
9921,1994-03-01,2019-04-04,2019-04-04
9869,1994-04-01,2019-04-04,2019-04-04
10009,1994-05-01,2019-04-04,2019-04-04
9893,1994-06-01,2019-04-04,2019-04-04
9735,1994-07-01,2019-04-04,2019-04-04
11157,1994-08-01,2019-04-04,2019-04-04
10217,1994-09-01,2019-04-04,2019-04-04
10730,1994-10-01,2019-04-04,2019-04-04
12354,1994-11-01,2019-04-04,2019-04-04
20016,1994-12-01,2019-04-04,2019-04-04
7518,1995-01-01,2019-04-04,2019-04-04
7961,1995-02-01,2019-04-04,2019-04-04
9815,1995-03-01,2019-04-04,2019-04-04
10168,1995-04-01,2019-04-04,2019-04-04
10620,1995-05-01,2019-04-04,2019-04-04
10301,1995-06-01,2019-04-04,2019-04-04
9784,1995-07-01,2019-04-04,2019-04-04
11264,1995-08-01,2019-04-04,2019-04-04
10710,1995-09-01,2019-04-04,2019-04-04
10439,1995-10-01,2019-04-04,2019-04-04
12751,1995-11-01,2019-04-04,2019-04-04
20002,1995-12-01,2019-04-04,2019-04-04
7684,1996-01-01,2019-04-04,2019-04-04
8991,1996-02-01,2019-04-04,2019-04-04
10349,1996-03-01,2019-04-04,2019-04-04
10570,1996-04-01,2019-04-04,2019-04-04
11405,1996-05-01,2019-04-04,2019-04-04
10554,1996-06-01,2019-04-04,2019-04-04
10202,1996-07-01,2019-04-04,2019-04-04
12134,1996-08-01,2019-04-04,2019-04-04
10623,1996-09-01,2019-04-04,2019-04-04
11250,1996-10-01,2019-04-04,2019-04-04
12875,1996-11-01,2019-04-04,2019-04-04
19944,1996-12-01,2019-04-04,2019-04-04
8194,1997-01-01,2019-04-04,2019-04-04
8835,1997-02-01,2019-04-04,2019-04-04
10840,1997-03-01,2019-04-04,2019-04-04
10131,1997-04-01,2019-04-04,2019-04-04
11505,1997-05-01,2019-04-04,2019-04-04
10654,1997-06-01,2019-04-04,2019-04-04
10734,1997-07-01,2019-04-04,2019-04-04
12461,1997-08-01,2019-04-04,2019-04-04
10942,1997-09-01,2019-04-04,2019-04-04
11635,1997-10-01,2019-04-04,2019-04-04
13244,1997-11-01,2019-04-04,2019-04-04
21118,1997-12-01,2019-04-04,2019-04-04
8800,1998-01-01,2019-04-04,2019-04-04
9499,1998-02-01,2019-04-04,2019-04-04
10863,1998-03-01,2019-04-04,2019-04-04
11825,1998-04-01,2019-04-04,2019-04-04
12239,1998-05-01,2019-04-04,2019-04-04
11451,1998-06-01,2019-04-04,2019-04-04
11633,1998-07-01,2019-04-04,2019-04-04
12971,1998-08-01,2019-04-04,2019-04-04
11214,1998-09-01,2019-04-04,2019-04-04
12384,1998-10-01,2019-04-04,2019-04-04
13854,1998-11-01,2019-04-04,2019-04-04
22418,1998-12-01,2019-04-04,2019-04-04
9237,1999-01-01,2019-04-04,2019-04-04
10171,1999-02-01,2019-04-04,2019-04-04
12081,1999-03-01,2019-04-04,2019-04-04
12386,1999-04-01,2019-04-04,2019-04-04
13167,1999-05-01,2019-04-04,2019-04-04
