value,date,realtime_end,realtime_start
3874,1992-01-01,2019-04-04,2019-04-04
3904,1992-02-01,2019-04-04,2019-04-04
3916,1992-03-01,2019-04-04,2019-04-04
3958,1992-04-01,2019-04-04,2019-04-04
3981,1992-05-01,2019-04-04,2019-04-04
3992,1992-06-01,2019-04-04,2019-04-04
4081,1992-07-01,2019-04-04,2019-04-04
4048,1992-08-01,2019-04-04,2019-04-04
4098,1992-09-01,2019-04-04,2019-04-04
4186,1992-10-01,2019-04-04,2019-04-04
4118,1992-11-01,2019-04-04,2019-04-04
4248,1992-12-01,2019-04-04,2019-04-04
4395,1993-01-01,2019-04-04,2019-04-04
4343,1993-02-01,2019-04-04,2019-04-04
4383,1993-03-01,2019-04-04,2019-04-04
4460,1993-04-01,2019-04-04,2019-04-04
4485,1993-05-01,2019-04-04,2019-04-04
4567,1993-06-01,2019-04-04,2019-04-04
4642,1993-07-01,2019-04-04,2019-04-04
4667,1993-08-01,2019-04-04,2019-04-04
4729,1993-09-01,2019-04-04,2019-04-04
4710,1993-10-01,2019-04-04,2019-04-04
4741,1993-11-01,2019-04-04,2019-04-04
4794,1993-12-01,2019-04-04,2019-04-04
4837,1994-01-01,2019-04-04,2019-04-04
4949,1994-02-01,2019-04-04,2019-04-04
5052,1994-03-01,2019-04-04,2019-04-04
5090,1994-04-01,2019-04-04,2019-04-04
5185,1994-05-01,2019-04-04,2019-04-04
5313,1994-06-01,2019-04-04,2019-04-04
5330,1994-07-01,2019-04-04,2019-04-04
5411,1994-08-01,2019-04-04,2019-04-04
5508,1994-09-01,2019-04-04,2019-04-04
5635,1994-10-01,2019-04-04,2019-04-04
5753,1994-11-01,2019-04-04,2019-04-04
5834,1994-12-01,2019-04-04,2019-04-04
5892,1995-01-01,2019-04-04,2019-04-04
5827,1995-02-01,2019-04-04,2019-04-04
5849,1995-03-01,2019-04-04,2019-04-04
5733,1995-04-01,2019-04-04,2019-04-04
5956,1995-05-01,2019-04-04,2019-04-04
6000,1995-06-01,2019-04-04,2019-04-04
5965,1995-07-01,2019-04-04,2019-04-04
6159,1995-08-01,2019-04-04,2019-04-04
6141,1995-09-01,2019-04-04,2019-04-04
6212,1995-10-01,2019-04-04,2019-04-04
6263,1995-11-01,2019-04-04,2019-04-04
6281,1995-12-01,2019-04-04,2019-04-04
6191,1996-01-01,2019-04-04,2019-04-04
6248,1996-02-01,2019-04-04,2019-04-04
6365,1996-03-01,2019-04-04,2019-04-04
6373,1996-04-01,2019-04-04,2019-04-04
6428,1996-05-01,2019-04-04,2019-04-04
6334,1996-06-01,2019-04-04,2019-04-04
