value,date,realtime_end,realtime_start
15693,1992-01-01,2019-04-04,2019-04-04
15835,1992-02-01,2019-04-04,2019-04-04
16848,1992-03-01,2019-04-04,2019-04-04
16494,1992-04-01,2019-04-04,2019-04-04
17648,1992-05-01,2019-04-04,2019-04-04
16814,1992-06-01,2019-04-04,2019-04-04
17304,1992-07-01,2019-04-04,2019-04-04
17888,1992-08-01,2019-04-04,2019-04-04
16459,1992-09-01,2019-04-04,2019-04-04
17668,1992-10-01,2019-04-04,2019-04-04
16723,1992-11-01,2019-04-04,2019-04-04
17491,1992-12-01,2019-04-04,2019-04-04
16201,1993-01-01,2019-04-04,2019-04-04
15625,1993-02-01,2019-04-04,2019-04-04
17414,1993-03-01,2019-04-04,2019-04-04
17841,1993-04-01,2019-04-04,2019-04-04
18712,1993-05-01,2019-04-04,2019-04-04
18571,1993-06-01,2019-04-04,2019-04-04
19092,1993-07-01,2019-04-04,2019-04-04
19329,1993-08-01,2019-04-04,2019-04-04
18108,1993-09-01,2019-04-04,2019-04-04
18745,1993-10-01,2019-04-04,2019-04-04
17463,1993-11-01,2019-04-04,2019-04-04
18366,1993-12-01,2019-04-04,2019-04-04
16073,1994-01-01,2019-04-04,2019-04-04
16509,1994-02-01,2019-04-04,2019-04-04
18757,1994-03-01,2019-04-04,2019-04-04
18774,1994-04-01,2019-04-04,2019-04-04
19400,1994-05-01,2019-04-04,2019-04-04
19437,1994-06-01,2019-04-04,2019-04-04
20157,1994-07-01,2019-04-04,2019-04-04
19943,1994-08-01,2019-04-04,2019-04-04
18826,1994-09-01,2019-04-04,2019-04-04
19314,1994-10-01,2019-04-04,2019-04-04
18248,1994-11-01,2019-04-04,2019-04-04
19562,1994-12-01,2019-04-04,2019-04-04
17340,1995-01-01,2019-04-04,2019-04-04
16982,1995-02-01,2019-04-04,2019-04-04
19369,1995-03-01,2019-04-04,2019-04-04
19404,1995-04-01,2019-04-04,2019-04-04
20209,1995-05-01,2019-04-04,2019-04-04
20235,1995-06-01,2019-04-04,2019-04-04
20502,1995-07-01,2019-04-04,2019-04-04
20878,1995-08-01,2019-04-04,2019-04-04
19601,1995-09-01,2019-04-04,2019-04-04
19768,1995-10-01,2019-04-04,2019-04-04
18785,1995-11-01,2019-04-04,2019-04-04
19939,1995-12-01,2019-04-04,2019-04-04
17647,1996-01-01,2019-04-04,2019-04-04
18439,1996-02-01,2019-04-04,2019-04-04
20259,1996-03-01,2019-04-04,2019-04-04
19832,1996-04-01,2019-04-04,2019-04-04
21139,1996-05-01,2019-04-04,2019-04-04
20669,1996-06-01,2019-04-04,2019-04-04
20971,1996-07-01,2019-04-04,2019-04-04
21792,1996-08-01,2019-04-04,2019-04-04
19826,1996-09-01,2019-04-04,2019-04-04
20736,1996-10-01,2019-04-04,2019-04-04
20332,1996-11-01,2019-04-04,2019-04-04
20603,1996-12-01,2019-04-04,2019-04-04
19316,1997-01-01,2019-04-04,2019-04-04
19128,1997-02-01,2019-04-04,2019-04-04
21383,1997-03-01,2019-04-04,2019-04-04
21110,1997-04-01,2019-04-04,2019-04-04
22674,1997-05-01,2019-04-04,2019-04-04
21874,1997-06-01,2019-04-04,2019-04-04
22665,1997-07-01,2019-04-04,2019-04-04
23300,1997-08-01,2019-04-04,2019-04-04
21392,1997-09-01,2019-04-04,2019-04-04
22106,1997-10-01,2019-04-04,2019-04-04
20751,1997-11-01,2019-04-04,2019-04-04
21665,1997-12-01,2019-04-04,2019-04-04
20408,1998-01-01,2019-04-04,2019-04-04
20096,1998-02-01,2019-04-04,2019-04-04
22340,1998-03-01,2019-04-04,2019-04-04
