value,date,realtime_end,realtime_start
3846,1992-01-01,2019-04-04,2019-04-04
3908,1992-02-01,2019-04-04,2019-04-04
4157,1992-03-01,2019-04-04,2019-04-04
4141,1992-04-01,2019-04-04,2019-04-04
4275,1992-05-01,2019-04-04,2019-04-04
4357,1992-06-01,2019-04-04,2019-04-04
4407,1992-07-01,2019-04-04,2019-04-04
4446,1992-08-01,2019-04-04,2019-04-04
4328,1992-09-01,2019-04-04,2019-04-04
4497,1992-10-01,2019-04-04,2019-04-04
4687,1992-11-01,2019-04-04,2019-04-04
5287,1992-12-01,2019-04-04,2019-04-04
4104,1993-01-01,2019-04-04,2019-04-04
3908,1993-02-01,2019-04-04,2019-04-04
4369,1993-03-01,2019-04-04,2019-04-04
4372,1993-04-01,2019-04-04,2019-04-04
4535,1993-05-01,2019-04-04,2019-04-04
4568,1993-06-01,2019-04-04,2019-04-04
4682,1993-07-01,2019-04-04,2019-04-04
4733,1993-08-01,2019-04-04,2019-04-04
4621,1993-09-01,2019-04-04,2019-04-04
4775,1993-10-01,2019-04-04,2019-04-04
5158,1993-11-01,2019-04-04,2019-04-04
5631,1993-12-01,2019-04-04,2019-04-04
4018,1994-01-01,2019-04-04,2019-04-04
4140,1994-02-01,2019-04-04,2019-04-04
4827,1994-03-01,2019-04-04,2019-04-04
4700,1994-04-01,2019-04-04,2019-04-04
4867,1994-05-01,2019-04-04,2019-04-04
4958,1994-06-01,2019-04-04,2019-04-04
4980,1994-07-01,2019-04-04,2019-04-04
5356,1994-08-01,2019-04-04,2019-04-04
5203,1994-09-01,2019-04-04,2019-04-04
5328,1994-10-01,2019-04-04,2019-04-04
5734,1994-11-01,2019-04-04,2019-04-04
6305,1994-12-01,2019-04-04,2019-04-04
4649,1995-01-01,2019-04-04,2019-04-04
4410,1995-02-01,2019-04-04,2019-04-04
5084,1995-03-01,2019-04-04,2019-04-04
4818,1995-04-01,2019-04-04,2019-04-04
5195,1995-05-01,2019-04-04,2019-04-04
5196,1995-06-01,2019-04-04,2019-04-04
5190,1995-07-01,2019-04-04,2019-04-04
5506,1995-08-01,2019-04-04,2019-04-04
5418,1995-09-01,2019-04-04,2019-04-04
5505,1995-10-01,2019-04-04,2019-04-04
6090,1995-11-01,2019-04-04,2019-04-04
6409,1995-12-01,2019-04-04,2019-04-04
4788,1996-01-01,2019-04-04,2019-04-04
4833,1996-02-01,2019-04-04,2019-04-04
5410,1996-03-01,2019-04-04,2019-04-04
5310,1996-04-01,2019-04-04,2019-04-04
5603,1996-05-01,2019-04-04,2019-04-04
5479,1996-06-01,2019-04-04,2019-04-04
5673,1996-07-01,2019-04-04,2019-04-04
5893,1996-08-01,2019-04-04,2019-04-04
5589,1996-09-01,2019-04-04,2019-04-04
5970,1996-10-01,2019-04-04,2019-04-04
6425,1996-11-01,2019-04-04,2019-04-04
6734,1996-12-01,2019-04-04,2019-04-04
5311,1997-01-01,2019-04-04,2019-04-04
5116,1997-02-01,2019-04-04,2019-04-04
5715,1997-03-01,2019-04-04,2019-04-04
5670,1997-04-01,2019-04-04,2019-04-04
6010,1997-05-01,2019-04-04,2019-04-04
5805,1997-06-01,2019-04-04,2019-04-04
6027,1997-07-01,2019-04-04,2019-04-04
6263,1997-08-01,2019-04-04,2019-04-04
6094,1997-09-01,2019-04-04,2019-04-04
6369,1997-10-01,2019-04-04,2019-04-04
