value,date,realtime_end,realtime_start
12803,1992-01-01,2019-04-04,2019-04-04
12601,1992-02-01,2019-04-04,2019-04-04
12639,1992-03-01,2019-04-04,2019-04-04
12710,1992-04-01,2019-04-04,2019-04-04
12870,1992-05-01,2019-04-04,2019-04-04
12886,1992-06-01,2019-04-04,2019-04-04
12966,1992-07-01,2019-04-04,2019-04-04
13092,1992-08-01,2019-04-04,2019-04-04
13246,1992-09-01,2019-04-04,2019-04-04
13304,1992-10-01,2019-04-04,2019-04-04
13358,1992-11-01,2019-04-04,2019-04-04
13475,1992-12-01,2019-04-04,2019-04-04
13398,1993-01-01,2019-04-04,2019-04-04
13596,1993-02-01,2019-04-04,2019-04-04
13487,1993-03-01,2019-04-04,2019-04-04
13539,1993-04-01,2019-04-04,2019-04-04
13521,1993-05-01,2019-04-04,2019-04-04
13461,1993-06-01,2019-04-04,2019-04-04
13502,1993-07-01,2019-04-04,2019-04-04
13372,1993-08-01,2019-04-04,2019-04-04
13416,1993-09-01,2019-04-04,2019-04-04
13755,1993-10-01,2019-04-04,2019-04-04
13754,1993-11-01,2019-04-04,2019-04-04
13627,1993-12-01,2019-04-04,2019-04-04
13656,1994-01-01,2019-04-04,2019-04-04
13875,1994-02-01,2019-04-04,2019-04-04
13911,1994-03-01,2019-04-04,2019-04-04
13867,1994-04-01,2019-04-04,2019-04-04
13773,1994-05-01,2019-04-04,2019-04-04
14059,1994-06-01,2019-04-04,2019-04-04
14322,1994-07-01,2019-04-04,2019-04-04
14685,1994-08-01,2019-04-04,2019-04-04
14649,1994-09-01,2019-04-04,2019-04-04
14709,1994-10-01,2019-04-04,2019-04-04
14878,1994-11-01,2019-04-04,2019-04-04
14885,1994-12-01,2019-04-04,2019-04-04
14915,1995-01-01,2019-04-04,2019-04-04
14963,1995-02-01,2019-04-04,2019-04-04
14921,1995-03-01,2019-04-04,2019-04-04
15021,1995-04-01,2019-04-04,2019-04-04
15215,1995-05-01,2019-04-04,2019-04-04
15333,1995-06-01,2019-04-04,2019-04-04
15249,1995-07-01,2019-04-04,2019-04-04
15227,1995-08-01,2019-04-04,2019-04-04
15194,1995-09-01,2019-04-04,2019-04-04
15007,1995-10-01,2019-04-04,2019-04-04
14981,1995-11-01,2019-04-04,2019-04-04
15246,1995-12-01,2019-04-04,2019-04-04
15479,1996-01-01,2019-04-04,2019-04-04
15457,1996-02-01,2019-04-04,2019-04-04
15951,1996-03-01,2019-04-04,2019-04-04
16252,1996-04-01,2019-04-04,2019-04-04
16488,1996-05-01,2019-04-04,2019-04-04
16352,1996-06-01,2019-04-04,2019-04-04
16075,1996-07-01,2019-04-04,2019-04-04
16066,1996-08-01,2019-04-04,2019-04-04
16088,1996-09-01,2019-04-04,2019-04-04
16360,1996-10-01,2019-04-04,2019-04-04
16602,1996-11-01,2019-04-04,2019-04-04
16759,1996-12-01,2019-04-04,2019-04-04
16938,1997-01-01,2019-04-04,2019-04-04
16984,1997-02-01,2019-04-04,2019-04-04
16969,1997-03-01,2019-04-04,2019-04-04
16613,1997-04-01,2019-04-04,2019-04-04
16367,1997-05-01,2019-04-04,2019-04-04
16378,1997-06-01,2019-04-04,2019-04-04
16396,1997-07-01,2019-04-04,2019-04-04
16682,1997-08-01,2019-04-04,2019-04-04
16757,1997-09-01,2019-04-04,2019-04-04
16711,1997-10-01,2019-04-04,2019-04-04
16638,1997-11-01,2019-04-04,2019-04-04
16536,1997-12-01,2019-04-04,2019-04-04
16225,1998-01-01,2019-04-04,2019-04-04
16054,1998-02-01,2019-04-04,2019-04-04
15703,1998-03-01,2019-04-04,2019-04-04
15798,1998-04-01,2019-04-04,2019-04-04
16057,1998-05-01,2019-04-04,2019-04-04
15933,1998-06-01,2019-04-04,2019-04-04
16087,1998-07-01,2019-04-04,2019-04-04
15851,1998-08-01,2019-04-04,2019-04-04
15812,1998-09-01,2019-04-04,2019-04-04
15948,1998-10-01,2019-04-04,2019-04-04
16014,1998-11-01,2019-04-04,2019-04-04
16399,1998-12-01,2019-04-04,2019-04-04
16394,1999-01-01,2019-04-04,2019-04-04
16309,1999-02-01,2019-04-04,2019-04-04
16529,1999-03-01,2019-04-04,2019-04-04
17115,1999-04-01,2019-04-04,2019-04-04
17186,1999-05-01,2019-04-04,2019-04-04
17070,1999-06-01,2019-04-04,2019-04-04
17704,1999-07-01,2019-04-04,2019-04-04
18135,1999-08-01,2019-04-04,2019-04-04
18339,1999-09-01,2019-04-04,2019-04-04
18632,1999-10-01,2019-04-04,2019-04-04
18992,1999-11-01,2019-04-04,2019-04-04
20095,1999-12-01,2019-04-04,2019-04-04
19358,2000-01-01,2019-04-04,2019-04-04
20214,2000-02-01,2019-04-04,2019-04-04
20819,2000-03-01,2019-04-04,2019-04-04
19907,2000-04-01,2019-04-04,2019-04-04
20242,2000-05-01,2019-04-04,2019-04-04
20885,2000-06-01,2019-04-04,2019-04-04
20905,2000-07-01,2019-04-04,2019-04-04
20574,2000-08-01,2019-04-04,2019-04-04
21327,2000-09-01,2019-04-04,2019-04-04
21412,2000-10-01,2019-04-04,2019-04-04
21906,2000-11-01,2019-04-04,2019-04-04
22124,2000-12-01,2019-04-04,2019-04-04
21931,2001-01-01,2019-04-04,2019-04-04
21615,2001-02-01,2019-04-04,2019-04-04
20652,2001-03-01,2019-04-04,2019-04-04
21618,2001-04-01,2019-04-04,2019-04-04
22628,2001-05-01,2019-04-04,2019-04-04
21928,2001-06-01,2019-04-04,2019-04-04
20686,2001-07-01,2019-04-04,2019-04-04
20878,2001-08-01,2019-04-04,2019-04-04
21336,2001-09-01,2019-04-04,2019-04-04
20033,2001-10-01,2019-04-04,2019-04-04
19245,2001-11-01,2019-04-04,2019-04-04
18950,2001-12-01,2019-04-04,2019-04-04
19130,2002-01-01,2019-04-04,2019-04-04
19068,2002-02-01,2019-04-04,2019-04-04
19813,2002-03-01,2019-04-04,2019-04-04
20856,2002-04-01,2019-04-04,2019-04-04
20930,2002-05-01,2019-04-04,2019-04-04
20733,2002-06-01,2019-04-04,2019-04-04
21438,2002-07-01,2019-04-04,2019-04-04
21182,2002-08-01,2019-04-04,2019-04-04
21272,2002-09-01,2019-04-04,2019-04-04
21659,2002-10-01,2019-04-04,2019-04-04
22009,2002-11-01,2019-04-04,2019-04-04
22464,2002-12-01,2019-04-04,2019-04-04
23073,2003-01-01,2019-04-04,2019-04-04
23885,2003-02-01,2019-04-04,2019-04-04
23968,2003-03-01,2019-04-04,2019-04-04
22581,2003-04-01,2019-04-04,2019-04-04
21810,2003-05-01,2019-04-04,2019-04-04
21777,2003-06-01,2019-04-04,2019-04-04
22196,2003-07-01,2019-04-04,2019-04-04
23073,2003-08-01,2019-04-04,2019-04-04
23214,2003-09-01,2019-04-04,2019-04-04
22714,2003-10-01,2019-04-04,2019-04-04
23472,2003-11-01,2019-04-04,2019-04-04
23994,2003-12-01,2019-04-04,2019-04-04
24889,2004-01-01,2019-04-04,2019-04-04
25256,2004-02-01,2019-04-04,2019-04-04
25679,2004-03-01,2019-04-04,2019-04-04
25518,2004-04-01,2019-04-04,2019-04-04
27011,2004-05-01,2019-04-04,2019-04-04
27050,2004-06-01,2019-04-04,2019-04-04
26745,2004-07-01,2019-04-04,2019-04-04
26552,2004-08-01,2019-04-04,2019-04-04
27161,2004-09-01,2019-04-04,2019-04-04
28656,2004-10-01,2019-04-04,2019-04-04
29349,2004-11-01,2019-04-04,2019-04-04
29046,2004-12-01,2019-04-04,2019-04-04
28375,2005-01-01,2019-04-04,2019-04-04
29015,2005-02-01,2019-04-04,2019-04-04
29498,2005-03-01,2019-04-04,2019-04-04
30009,2005-04-01,2019-04-04,2019-04-04
29140,2005-05-01,2019-04-04,2019-04-04
29889,2005-06-01,2019-04-04,2019-04-04
30976,2005-07-01,2019-04-04,2019-04-04
33399,2005-08-01,2019-04-04,2019-04-04
36116,2005-09-01,2019-04-04,2019-04-04
35911,2005-10-01,2019-04-04,2019-04-04
33185,2005-11-01,2019-04-04,2019-04-04
33154,2005-12-01,2019-04-04,2019-04-04
34298,2006-01-01,2019-04-04,2019-04-04
34174,2006-02-01,2019-04-04,2019-04-04
34195,2006-03-01,2019-04-04,2019-04-04
35646,2006-04-01,2019-04-04,2019-04-04
36159,2006-05-01,2019-04-04,2019-04-04
36228,2006-06-01,2019-04-04,2019-04-04
36963,2006-07-01,2019-04-04,2019-04-04
37696,2006-08-01,2019-04-04,2019-04-04
34935,2006-09-01,2019-04-04,2019-04-04
32912,2006-10-01,2019-04-04,2019-04-04
33322,2006-11-01,2019-04-04,2019-04-04
34895,2006-12-01,2019-04-04,2019-04-04
