value,date,realtime_end,realtime_start
27835,1992-01-01,2019-04-04,2019-04-04
27720,1992-02-01,2019-04-04,2019-04-04
27848,1992-03-01,2019-04-04,2019-04-04
27867,1992-04-01,2019-04-04,2019-04-04
27987,1992-05-01,2019-04-04,2019-04-04
28011,1992-06-01,2019-04-04,2019-04-04
28183,1992-07-01,2019-04-04,2019-04-04
28222,1992-08-01,2019-04-04,2019-04-04
28122,1992-09-01,2019-04-04,2019-04-04
28328,1992-10-01,2019-04-04,2019-04-04
28184,1992-11-01,2019-04-04,2019-04-04
28233,1992-12-01,2019-04-04,2019-04-04
28220,1993-01-01,2019-04-04,2019-04-04
28419,1993-02-01,2019-04-04,2019-04-04
28307,1993-03-01,2019-04-04,2019-04-04
28367,1993-04-01,2019-04-04,2019-04-04
28386,1993-05-01,2019-04-04,2019-04-04
28377,1993-06-01,2019-04-04,2019-04-04
28554,1993-07-01,2019-04-04,2019-04-04
28357,1993-08-01,2019-04-04,2019-04-04
28478,1993-09-01,2019-04-04,2019-04-04
28618,1993-10-01,2019-04-04,2019-04-04
28625,1993-11-01,2019-04-04,2019-04-04
28773,1993-12-01,2019-04-04,2019-04-04
28722,1994-01-01,2019-04-04,2019-04-04
28923,1994-02-01,2019-04-04,2019-04-04
28914,1994-03-01,2019-04-04,2019-04-04
29111,1994-04-01,2019-04-04,2019-04-04
29025,1994-05-01,2019-04-04,2019-04-04
29311,1994-06-01,2019-04-04,2019-04-04
29149,1994-07-01,2019-04-04,2019-04-04
29410,1994-08-01,2019-04-04,2019-04-04
29545,1994-09-01,2019-04-04,2019-04-04
29343,1994-10-01,2019-04-04,2019-04-04
29520,1994-11-01,2019-04-04,2019-04-04
29443,1994-12-01,2019-04-04,2019-04-04
29791,1995-01-01,2019-04-04,2019-04-04
29604,1995-02-01,2019-04-04,2019-04-04
29619,1995-03-01,2019-04-04,2019-04-04
29499,1995-04-01,2019-04-04,2019-04-04
29763,1995-05-01,2019-04-04,2019-04-04
29812,1995-06-01,2019-04-04,2019-04-04
29675,1995-07-01,2019-04-04,2019-04-04
29721,1995-08-01,2019-04-04,2019-04-04
29735,1995-09-01,2019-04-04,2019-04-04
29692,1995-10-01,2019-04-04,2019-04-04
29858,1995-11-01,2019-04-04,2019-04-04
29994,1995-12-01,2019-04-04,2019-04-04
30105,1996-01-01,2019-04-04,2019-04-04
29990,1996-02-01,2019-04-04,2019-04-04
30125,1996-03-01,2019-04-04,2019-04-04
30220,1996-04-01,2019-04-04,2019-04-04
30245,1996-05-01,2019-04-04,2019-04-04
30288,1996-06-01,2019-04-04,2019-04-04
30493,1996-07-01,2019-04-04,2019-04-04
30555,1996-08-01,2019-04-04,2019-04-04
30565,1996-09-01,2019-04-04,2019-04-04
30766,1996-10-01,2019-04-04,2019-04-04
30768,1996-11-01,2019-04-04,2019-04-04
30879,1996-12-01,2019-04-04,2019-04-04
31030,1997-01-01,2019-04-04,2019-04-04
30991,1997-02-01,2019-04-04,2019-04-04
31109,1997-03-01,2019-04-04,2019-04-04
31065,1997-04-01,2019-04-04,2019-04-04
30987,1997-05-01,2019-04-04,2019-04-04
30804,1997-06-01,2019-04-04,2019-04-04
31022,1997-07-01,2019-04-04,2019-04-04
31160,1997-08-01,2019-04-04,2019-04-04
31171,1997-09-01,2019-04-04,2019-04-04
31225,1997-10-01,2019-04-04,2019-04-04
31125,1997-11-01,2019-04-04,2019-04-04
31063,1997-12-01,2019-04-04,2019-04-04
30989,1998-01-01,2019-04-04,2019-04-04
30915,1998-02-01,2019-04-04,2019-04-04
31123,1998-03-01,2019-04-04,2019-04-04
31169,1998-04-01,2019-04-04,2019-04-04
31358,1998-05-01,2019-04-04,2019-04-04
31435,1998-06-01,2019-04-04,2019-04-04
31673,1998-07-01,2019-04-04,2019-04-04
31744,1998-08-01,2019-04-04,2019-04-04
31702,1998-09-01,2019-04-04,2019-04-04
31864,1998-10-01,2019-04-04,2019-04-04
31920,1998-11-01,2019-04-04,2019-04-04
32291,1998-12-01,2019-04-04,2019-04-04
32225,1999-01-01,2019-04-04,2019-04-04
32465,1999-02-01,2019-04-04,2019-04-04
32419,1999-03-01,2019-04-04,2019-04-04
32700,1999-04-01,2019-04-04,2019-04-04
32776,1999-05-01,2019-04-04,2019-04-04
32633,1999-06-01,2019-04-04,2019-04-04
32891,1999-07-01,2019-04-04,2019-04-04
32878,1999-08-01,2019-04-04,2019-04-04
33121,1999-09-01,2019-04-04,2019-04-04
32968,1999-10-01,2019-04-04,2019-04-04
32972,1999-11-01,2019-04-04,2019-04-04
34270,1999-12-01,2019-04-04,2019-04-04
32239,2000-01-01,2019-04-04,2019-04-04
32567,2000-02-01,2019-04-04,2019-04-04
33117,2000-03-01,2019-04-04,2019-04-04
33541,2000-04-01,2019-04-04,2019-04-04
33221,2000-05-01,2019-04-04,2019-04-04
33644,2000-06-01,2019-04-04,2019-04-04
33479,2000-07-01,2019-04-04,2019-04-04
33554,2000-08-01,2019-04-04,2019-04-04
33729,2000-09-01,2019-04-04,2019-04-04
33867,2000-10-01,2019-04-04,2019-04-04
34071,2000-11-01,2019-04-04,2019-04-04
34558,2000-12-01,2019-04-04,2019-04-04
34229,2001-01-01,2019-04-04,2019-04-04
34602,2001-02-01,2019-04-04,2019-04-04
34477,2001-03-01,2019-04-04,2019-04-04
34727,2001-04-01,2019-04-04,2019-04-04
34781,2001-05-01,2019-04-04,2019-04-04
34866,2001-06-01,2019-04-04,2019-04-04
34792,2001-07-01,2019-04-04,2019-04-04
35043,2001-08-01,2019-04-04,2019-04-04
35152,2001-09-01,2019-04-04,2019-04-04
35270,2001-10-01,2019-04-04,2019-04-04
35414,2001-11-01,2019-04-04,2019-04-04
35208,2001-12-01,2019-04-04,2019-04-04
35130,2002-01-01,2019-04-04,2019-04-04
35114,2002-02-01,2019-04-04,2019-04-04
35160,2002-03-01,2019-04-04,2019-04-04
34827,2002-04-01,2019-04-04,2019-04-04
34941,2002-05-01,2019-04-04,2019-04-04
34933,2002-06-01,2019-04-04,2019-04-04
35044,2002-07-01,2019-04-04,2019-04-04
34874,2002-08-01,2019-04-04,2019-04-04
34865,2002-09-01,2019-04-04,2019-04-04
34990,2002-10-01,2019-04-04,2019-04-04
35157,2002-11-01,2019-04-04,2019-04-04
35257,2002-12-01,2019-04-04,2019-04-04
35669,2003-01-01,2019-04-04,2019-04-04
35570,2003-02-01,2019-04-04,2019-04-04
35549,2003-03-01,2019-04-04,2019-04-04
35638,2003-04-01,2019-04-04,2019-04-04
35225,2003-05-01,2019-04-04,2019-04-04
35676,2003-06-01,2019-04-04,2019-04-04
35957,2003-07-01,2019-04-04,2019-04-04
35890,2003-08-01,2019-04-04,2019-04-04
35918,2003-09-01,2019-04-04,2019-04-04
35763,2003-10-01,2019-04-04,2019-04-04
35679,2003-11-01,2019-04-04,2019-04-04
35808,2003-12-01,2019-04-04,2019-04-04
36402,2004-01-01,2019-04-04,2019-04-04
35890,2004-02-01,2019-04-04,2019-04-04
36365,2004-03-01,2019-04-04,2019-04-04
36312,2004-04-01,2019-04-04,2019-04-04
36528,2004-05-01,2019-04-04,2019-04-04
36508,2004-06-01,2019-04-04,2019-04-04
36526,2004-07-01,2019-04-04,2019-04-04
36680,2004-08-01,2019-04-04,2019-04-04
36951,2004-09-01,2019-04-04,2019-04-04
37078,2004-10-01,2019-04-04,2019-04-04
37286,2004-11-01,2019-04-04,2019-04-04
37423,2004-12-01,2019-04-04,2019-04-04
37628,2005-01-01,2019-04-04,2019-04-04
37553,2005-02-01,2019-04-04,2019-04-04
37645,2005-03-01,2019-04-04,2019-04-04
38049,2005-04-01,2019-04-04,2019-04-04
37908,2005-05-01,2019-04-04,2019-04-04
38143,2005-06-01,2019-04-04,2019-04-04
37960,2005-07-01,2019-04-04,2019-04-04
38320,2005-08-01,2019-04-04,2019-04-04
38577,2005-09-01,2019-04-04,2019-04-04
38559,2005-10-01,2019-04-04,2019-04-04
38508,2005-11-01,2019-04-04,2019-04-04
38847,2005-12-01,2019-04-04,2019-04-04
38254,2006-01-01,2019-04-04,2019-04-04
38889,2006-02-01,2019-04-04,2019-04-04
38866,2006-03-01,2019-04-04,2019-04-04
38891,2006-04-01,2019-04-04,2019-04-04
39242,2006-05-01,2019-04-04,2019-04-04
39372,2006-06-01,2019-04-04,2019-04-04
39411,2006-07-01,2019-04-04,2019-04-04
39705,2006-08-01,2019-04-04,2019-04-04
39356,2006-09-01,2019-04-04,2019-04-04
40002,2006-10-01,2019-04-04,2019-04-04
