value,date,realtime_end,realtime_start
3385,1992-01-01,2019-04-04,2019-04-04
3516,1992-02-01,2019-04-04,2019-04-04
3482,1992-03-01,2019-04-04,2019-04-04
3535,1992-04-01,2019-04-04,2019-04-04
3512,1992-05-01,2019-04-04,2019-04-04
3549,1992-06-01,2019-04-04,2019-04-04
3586,1992-07-01,2019-04-04,2019-04-04
3512,1992-08-01,2019-04-04,2019-04-04
3566,1992-09-01,2019-04-04,2019-04-04
3607,1992-10-01,2019-04-04,2019-04-04
3626,1992-11-01,2019-04-04,2019-04-04
3800,1992-12-01,2019-04-04,2019-04-04
3648,1993-01-01,2019-04-04,2019-04-04
3585,1993-02-01,2019-04-04,2019-04-04
3608,1993-03-01,2019-04-04,2019-04-04
3749,1993-04-01,2019-04-04,2019-04-04
3746,1993-05-01,2019-04-04,2019-04-04
3702,1993-06-01,2019-04-04,2019-04-04
3810,1993-07-01,2019-04-04,2019-04-04
3804,1993-08-01,2019-04-04,2019-04-04
3825,1993-09-01,2019-04-04,2019-04-04
3817,1993-10-01,2019-04-04,2019-04-04
3930,1993-11-01,2019-04-04,2019-04-04
4018,1993-12-01,2019-04-04,2019-04-04
3981,1994-01-01,2019-04-04,2019-04-04
4095,1994-02-01,2019-04-04,2019-04-04
4131,1994-03-01,2019-04-04,2019-04-04
4035,1994-04-01,2019-04-04,2019-04-04
4119,1994-05-01,2019-04-04,2019-04-04
4135,1994-06-01,2019-04-04,2019-04-04
4111,1994-07-01,2019-04-04,2019-04-04
4249,1994-08-01,2019-04-04,2019-04-04
4306,1994-09-01,2019-04-04,2019-04-04
4347,1994-10-01,2019-04-04,2019-04-04
4221,1994-11-01,2019-04-04,2019-04-04
4255,1994-12-01,2019-04-04,2019-04-04
4436,1995-01-01,2019-04-04,2019-04-04
4298,1995-02-01,2019-04-04,2019-04-04
4347,1995-03-01,2019-04-04,2019-04-04
4345,1995-04-01,2019-04-04,2019-04-04
4380,1995-05-01,2019-04-04,2019-04-04
4421,1995-06-01,2019-04-04,2019-04-04
4429,1995-07-01,2019-04-04,2019-04-04
4462,1995-08-01,2019-04-04,2019-04-04
4441,1995-09-01,2019-04-04,2019-04-04
4414,1995-10-01,2019-04-04,2019-04-04
4532,1995-11-01,2019-04-04,2019-04-04
4505,1995-12-01,2019-04-04,2019-04-04
4600,1996-01-01,2019-04-04,2019-04-04
4485,1996-02-01,2019-04-04,2019-04-04
4548,1996-03-01,2019-04-04,2019-04-04
4628,1996-04-01,2019-04-04,2019-04-04
4432,1996-05-01,2019-04-04,2019-04-04
4609,1996-06-01,2019-04-04,2019-04-04
4655,1996-07-01,2019-04-04,2019-04-04
4738,1996-08-01,2019-04-04,2019-04-04
4690,1996-09-01,2019-04-04,2019-04-04
4769,1996-10-01,2019-04-04,2019-04-04
4692,1996-11-01,2019-04-04,2019-04-04
4940,1996-12-01,2019-04-04,2019-04-04
4748,1997-01-01,2019-04-04,2019-04-04
4666,1997-02-01,2019-04-04,2019-04-04
4698,1997-03-01,2019-04-04,2019-04-04
4725,1997-04-01,2019-04-04,2019-04-04
4763,1997-05-01,2019-04-04,2019-04-04
4838,1997-06-01,2019-04-04,2019-04-04
4786,1997-07-01,2019-04-04,2019-04-04
4745,1997-08-01,2019-04-04,2019-04-04
4827,1997-09-01,2019-04-04,2019-04-04
4878,1997-10-01,2019-04-04,2019-04-04
5015,1997-11-01,2019-04-04,2019-04-04
4915,1997-12-01,2019-04-04,2019-04-04
4834,1998-01-01,2019-04-04,2019-04-04
5027,1998-02-01,2019-04-04,2019-04-04
5008,1998-03-01,2019-04-04,2019-04-04
5036,1998-04-01,2019-04-04,2019-04-04
4986,1998-05-01,2019-04-04,2019-04-04
5083,1998-06-01,2019-04-04,2019-04-04
5032,1998-07-01,2019-04-04,2019-04-04
5057,1998-08-01,2019-04-04,2019-04-04
5047,1998-09-01,2019-04-04,2019-04-04
5108,1998-10-01,2019-04-04,2019-04-04
5093,1998-11-01,2019-04-04,2019-04-04
5154,1998-12-01,2019-04-04,2019-04-04
5122,1999-01-01,2019-04-04,2019-04-04
5292,1999-02-01,2019-04-04,2019-04-04
5273,1999-03-01,2019-04-04,2019-04-04
5277,1999-04-01,2019-04-04,2019-04-04
5328,1999-05-01,2019-04-04,2019-04-04
5367,1999-06-01,2019-04-04,2019-04-04
5326,1999-07-01,2019-04-04,2019-04-04
5290,1999-08-01,2019-04-04,2019-04-04
5385,1999-09-01,2019-04-04,2019-04-04
5373,1999-10-01,2019-04-04,2019-04-04
5414,1999-11-01,2019-04-04,2019-04-04
5455,1999-12-01,2019-04-04,2019-04-04
5232,2000-01-01,2019-04-04,2019-04-04
5541,2000-02-01,2019-04-04,2019-04-04
5635,2000-03-01,2019-04-04,2019-04-04
5649,2000-04-01,2019-04-04,2019-04-04
5757,2000-05-01,2019-04-04,2019-04-04
5686,2000-06-01,2019-04-04,2019-04-04
5800,2000-07-01,2019-04-04,2019-04-04
5633,2000-08-01,2019-04-04,2019-04-04
5728,2000-09-01,2019-04-04,2019-04-04
5626,2000-10-01,2019-04-04,2019-04-04
5615,2000-11-01,2019-04-04,2019-04-04
5601,2000-12-01,2019-04-04,2019-04-04
5386,2001-01-01,2019-04-04,2019-04-04
5715,2001-02-01,2019-04-04,2019-04-04
5723,2001-03-01,2019-04-04,2019-04-04
5658,2001-04-01,2019-04-04,2019-04-04
5679,2001-05-01,2019-04-04,2019-04-04
5621,2001-06-01,2019-04-04,2019-04-04
5703,2001-07-01,2019-04-04,2019-04-04
5775,2001-08-01,2019-04-04,2019-04-04
5672,2001-09-01,2019-04-04,2019-04-04
5798,2001-10-01,2019-04-04,2019-04-04
6066,2001-11-01,2019-04-04,2019-04-04
5797,2001-12-01,2019-04-04,2019-04-04
5775,2002-01-01,2019-04-04,2019-04-04
5711,2002-02-01,2019-04-04,2019-04-04
5717,2002-03-01,2019-04-04,2019-04-04
5799,2002-04-01,2019-04-04,2019-04-04
5731,2002-05-01,2019-04-04,2019-04-04
5670,2002-06-01,2019-04-04,2019-04-04
5666,2002-07-01,2019-04-04,2019-04-04
5689,2002-08-01,2019-04-04,2019-04-04
5852,2002-09-01,2019-04-04,2019-04-04
5839,2002-10-01,2019-04-04,2019-04-04
5985,2002-11-01,2019-04-04,2019-04-04
5809,2002-12-01,2019-04-04,2019-04-04
5794,2003-01-01,2019-04-04,2019-04-04
5576,2003-02-01,2019-04-04,2019-04-04
5660,2003-03-01,2019-04-04,2019-04-04
5709,2003-04-01,2019-04-04,2019-04-04
5748,2003-05-01,2019-04-04,2019-04-04
5908,2003-06-01,2019-04-04,2019-04-04
5808,2003-07-01,2019-04-04,2019-04-04
6132,2003-08-01,2019-04-04,2019-04-04
5954,2003-09-01,2019-04-04,2019-04-04
5841,2003-10-01,2019-04-04,2019-04-04
6011,2003-11-01,2019-04-04,2019-04-04
6013,2003-12-01,2019-04-04,2019-04-04
6087,2004-01-01,2019-04-04,2019-04-04
6093,2004-02-01,2019-04-04,2019-04-04
6067,2004-03-01,2019-04-04,2019-04-04
5941,2004-04-01,2019-04-04,2019-04-04
5985,2004-05-01,2019-04-04,2019-04-04
6017,2004-06-01,2019-04-04,2019-04-04
6124,2004-07-01,2019-04-04,2019-04-04
6192,2004-08-01,2019-04-04,2019-04-04
