value,date,realtime_end,realtime_start
7421,1992-01-01,2019-04-04,2019-04-04
7425,1992-02-01,2019-04-04,2019-04-04
7443,1992-03-01,2019-04-04,2019-04-04
7516,1992-04-01,2019-04-04,2019-04-04
7458,1992-05-01,2019-04-04,2019-04-04
7417,1992-06-01,2019-04-04,2019-04-04
7292,1992-07-01,2019-04-04,2019-04-04
7508,1992-08-01,2019-04-04,2019-04-04
7420,1992-09-01,2019-04-04,2019-04-04
7535,1992-10-01,2019-04-04,2019-04-04
7497,1992-11-01,2019-04-04,2019-04-04
7526,1992-12-01,2019-04-04,2019-04-04
7518,1993-01-01,2019-04-04,2019-04-04
7651,1993-02-01,2019-04-04,2019-04-04
7605,1993-03-01,2019-04-04,2019-04-04
7683,1993-04-01,2019-04-04,2019-04-04
7666,1993-05-01,2019-04-04,2019-04-04
7680,1993-06-01,2019-04-04,2019-04-04
7756,1993-07-01,2019-04-04,2019-04-04
7678,1993-08-01,2019-04-04,2019-04-04
7772,1993-09-01,2019-04-04,2019-04-04
7758,1993-10-01,2019-04-04,2019-04-04
7784,1993-11-01,2019-04-04,2019-04-04
7989,1993-12-01,2019-04-04,2019-04-04
7865,1994-01-01,2019-04-04,2019-04-04
7729,1994-02-01,2019-04-04,2019-04-04
7911,1994-03-01,2019-04-04,2019-04-04
7838,1994-04-01,2019-04-04,2019-04-04
7955,1994-05-01,2019-04-04,2019-04-04
8014,1994-06-01,2019-04-04,2019-04-04
8084,1994-07-01,2019-04-04,2019-04-04
8126,1994-08-01,2019-04-04,2019-04-04
8190,1994-09-01,2019-04-04,2019-04-04
8214,1994-10-01,2019-04-04,2019-04-04
8190,1994-11-01,2019-04-04,2019-04-04
8287,1994-12-01,2019-04-04,2019-04-04
8306,1995-01-01,2019-04-04,2019-04-04
8304,1995-02-01,2019-04-04,2019-04-04
8304,1995-03-01,2019-04-04,2019-04-04
8450,1995-04-01,2019-04-04,2019-04-04
8424,1995-05-01,2019-04-04,2019-04-04
8482,1995-06-01,2019-04-04,2019-04-04
8431,1995-07-01,2019-04-04,2019-04-04
8488,1995-08-01,2019-04-04,2019-04-04
8611,1995-09-01,2019-04-04,2019-04-04
8584,1995-10-01,2019-04-04,2019-04-04
8691,1995-11-01,2019-04-04,2019-04-04
8761,1995-12-01,2019-04-04,2019-04-04
8546,1996-01-01,2019-04-04,2019-04-04
8782,1996-02-01,2019-04-04,2019-04-04
8991,1996-03-01,2019-04-04,2019-04-04
