value,date,realtime_end,realtime_start
33478,1992-01-01,2019-04-04,2019-04-04
33817,1992-02-01,2019-04-04,2019-04-04
33336,1992-03-01,2019-04-04,2019-04-04
33776,1992-04-01,2019-04-04,2019-04-04
34357,1992-05-01,2019-04-04,2019-04-04
34781,1992-06-01,2019-04-04,2019-04-04
35199,1992-07-01,2019-04-04,2019-04-04
34585,1992-08-01,2019-04-04,2019-04-04
35890,1992-09-01,2019-04-04,2019-04-04
35972,1992-10-01,2019-04-04,2019-04-04
35928,1992-11-01,2019-04-04,2019-04-04
36272,1992-12-01,2019-04-04,2019-04-04
37621,1993-01-01,2019-04-04,2019-04-04
36723,1993-02-01,2019-04-04,2019-04-04
35955,1993-03-01,2019-04-04,2019-04-04
38521,1993-04-01,2019-04-04,2019-04-04
39006,1993-05-01,2019-04-04,2019-04-04
38892,1993-06-01,2019-04-04,2019-04-04
40290,1993-07-01,2019-04-04,2019-04-04
40504,1993-08-01,2019-04-04,2019-04-04
40203,1993-09-01,2019-04-04,2019-04-04
40857,1993-10-01,2019-04-04,2019-04-04
42077,1993-11-01,2019-04-04,2019-04-04
42796,1993-12-01,2019-04-04,2019-04-04
42660,1994-01-01,2019-04-04,2019-04-04
43685,1994-02-01,2019-04-04,2019-04-04
44475,1994-03-01,2019-04-04,2019-04-04
45072,1994-04-01,2019-04-04,2019-04-04
44098,1994-05-01,2019-04-04,2019-04-04
44541,1994-06-01,2019-04-04,2019-04-04
44477,1994-07-01,2019-04-04,2019-04-04
45232,1994-08-01,2019-04-04,2019-04-04
46314,1994-09-01,2019-04-04,2019-04-04
47041,1994-10-01,2019-04-04,2019-04-04
47203,1994-11-01,2019-04-04,2019-04-04
46941,1994-12-01,2019-04-04,2019-04-04
47224,1995-01-01,2019-04-04,2019-04-04
45902,1995-02-01,2019-04-04,2019-04-04
46681,1995-03-01,2019-04-04,2019-04-04
47056,1995-04-01,2019-04-04,2019-04-04
47718,1995-05-01,2019-04-04,2019-04-04
49652,1995-06-01,2019-04-04,2019-04-04
48832,1995-07-01,2019-04-04,2019-04-04
49748,1995-08-01,2019-04-04,2019-04-04
49188,1995-09-01,2019-04-04,2019-04-04
49271,1995-10-01,2019-04-04,2019-04-04
49863,1995-11-01,2019-04-04,2019-04-04
50163,1995-12-01,2019-04-04,2019-04-04
50349,1996-01-01,2019-04-04,2019-04-04
52288,1996-02-01,2019-04-04,2019-04-04
52348,1996-03-01,2019-04-04,2019-04-04
51531,1996-04-01,2019-04-04,2019-04-04
52200,1996-05-01,2019-04-04,2019-04-04
51798,1996-06-01,2019-04-04,2019-04-04
52004,1996-07-01,2019-04-04,2019-04-04
51472,1996-08-01,2019-04-04,2019-04-04
53184,1996-09-01,2019-04-04,2019-04-04
53450,1996-10-01,2019-04-04,2019-04-04
52710,1996-11-01,2019-04-04,2019-04-04
52835,1996-12-01,2019-04-04,2019-04-04
54010,1997-01-01,2019-04-04,2019-04-04
54601,1997-02-01,2019-04-04,2019-04-04
54233,1997-03-01,2019-04-04,2019-04-04
53861,1997-04-01,2019-04-04,2019-04-04
52191,1997-05-01,2019-04-04,2019-04-04
54066,1997-06-01,2019-04-04,2019-04-04
55255,1997-07-01,2019-04-04,2019-04-04
55488,1997-08-01,2019-04-04,2019-04-04
55334,1997-09-01,2019-04-04,2019-04-04
54856,1997-10-01,2019-04-04,2019-04-04
55314,1997-11-01,2019-04-04,2019-04-04
55763,1997-12-01,2019-04-04,2019-04-04
55494,1998-01-01,2019-04-04,2019-04-04
54841,1998-02-01,2019-04-04,2019-04-04
56135,1998-03-01,2019-04-04,2019-04-04
57464,1998-04-01,2019-04-04,2019-04-04
57882,1998-05-01,2019-04-04,2019-04-04
59264,1998-06-01,2019-04-04,2019-04-04
56320,1998-07-01,2019-04-04,2019-04-04
54997,1998-08-01,2019-04-04,2019-04-04
57196,1998-09-01,2019-04-04,2019-04-04
59294,1998-10-01,2019-04-04,2019-04-04
59817,1998-11-01,2019-04-04,2019-04-04
60473,1998-12-01,2019-04-04,2019-04-04
60535,1999-01-01,2019-04-04,2019-04-04
61260,1999-02-01,2019-04-04,2019-04-04
61641,1999-03-01,2019-04-04,2019-04-04
62150,1999-04-01,2019-04-04,2019-04-04
63211,1999-05-01,2019-04-04,2019-04-04
63452,1999-06-01,2019-04-04,2019-04-04
64509,1999-07-01,2019-04-04,2019-04-04
65713,1999-08-01,2019-04-04,2019-04-04
65150,1999-09-01,2019-04-04,2019-04-04
64519,1999-10-01,2019-04-04,2019-04-04
66269,1999-11-01,2019-04-04,2019-04-04
65909,1999-12-01,2019-04-04,2019-04-04
67679,2000-01-01,2019-04-04,2019-04-04
69085,2000-02-01,2019-04-04,2019-04-04
68433,2000-03-01,2019-04-04,2019-04-04
65812,2000-04-01,2019-04-04,2019-04-04
65781,2000-05-01,2019-04-04,2019-04-04
66638,2000-06-01,2019-04-04,2019-04-04
65205,2000-07-01,2019-04-04,2019-04-04
65311,2000-08-01,2019-04-04,2019-04-04
66850,2000-09-01,2019-04-04,2019-04-04
66208,2000-10-01,2019-04-04,2019-04-04
64645,2000-11-01,2019-04-04,2019-04-04
63524,2000-12-01,2019-04-04,2019-04-04
65926,2001-01-01,2019-04-04,2019-04-04
66188,2001-02-01,2019-04-04,2019-04-04
65671,2001-03-01,2019-04-04,2019-04-04
66933,2001-04-01,2019-04-04,2019-04-04
67039,2001-05-01,2019-04-04,2019-04-04
66710,2001-06-01,2019-04-04,2019-04-04
66067,2001-07-01,2019-04-04,2019-04-04
66350,2001-08-01,2019-04-04,2019-04-04
63929,2001-09-01,2019-04-04,2019-04-04
